"Index","Start","End","DurationSeconds","AudioFile","Text"
"1","00:00:00","00:00:08","8","01.wav","这是一个面向课程答辩的 供应链协同管理系统演示。"
"2","00:00:08","00:00:19","11","02.wav","系统基于 FastAPI、SQLAlchemy 和原生前端构建。"
"3","00:00:19","00:00:30","11","03.wav","从 /demo 入口进入后， 可以按角色切换不同工作台。"
"4","00:00:30","00:00:42","12","04.wav","管理员能看到全量模块， 采购、仓库、门店和经理各有权限边界。"
"5","00:00:42","00:00:53","11","05.wav","首页看板汇总商品、供应商、 仓库、门店和库存预警信息。"
"6","00:00:53","00:01:05","12","06.wav","基础数据模块维护商品、 供应商、仓库与门店主数据。"
"7","00:01:05","00:01:17","12","07.wav","在采购入库模块， 我们先创建采购单和入库单。"
"8","00:01:17","00:01:29","12","08.wav","入库完成后， 仓库库存会自动增加。"
"9","00:01:29","00:01:40","11","09.wav","同时系统会生成库存流水， 便于后续全过程追溯。"
"10","00:01:40","00:01:52","12","10.wav","门店缺货时， 可以发起补货申请。"
"11","00:01:52","00:02:04","12","11.wav","业务经理或管理员审核后， 申请可以通过、驳回或继续流转。"
"12","00:02:04","00:02:17","13","12.wav","通过的申请会转换为出库单， 进入仓配执行阶段。"
"13","00:02:17","00:02:29","12","13.wav","仓库发货后， 门店再进行签收确认。"
"14","00:02:29","00:02:42","13","14.wav","这就形成了从采购入库到 门店收货的完整业务闭环。"
"15","00:02:42","00:02:55","13","15.wav","系统还能根据库存、销量 和风险状态生成 AI 补货建议。"
"16","00:02:55","00:03:08","13","16.wav","统计分析和供应商排名提供 库存排行、流转趋势与合作评估。"
"17","00:03:08","00:03:20","12","17.wav","项目也支持 Walmart 数据导入， 便于扩展真实销量分析场景。"
"18","00:03:20","00:03:31","11","18.wav","健康检查接口能够显示 当前数据库连接状态。"
"19","00:03:31","00:03:42","11","19.wav","项目优先使用 OceanBase， 不可用时会自动回退到 SQLite。"
"20","00:03:42","00:03:52","10","20.wav","接口统一返回 success、message、data， 便于前后端协作和测试。"
"21","00:03:52","00:03:56","4","21.wav","以上就是本项目的核心演示。"
